country,totalspend,doctors,lifeExpectancy
Afghanistan,44,2.1,60
Albania,577,11.53,77
Australia,3441,29.91,82
Iraq,340,6.9,69
Brazil,1028,17.64,73
Qatar,1622,27.57,78
China,379,14.15,75
Czech Republic,2051,36.72,77
Croatia,1514,26.01,76
Uruguay,1188,37.36,77
Portugal,2818,38.68,79
Lebanon,980,35.4,79
Thailand,330,2.98,74
Uganda,124,1.17,57
Ecuador,653,16.87,76
Israel,2186,36.5,82
Japan,3204,21.42,83
Philippines,142,11.53,68
Zambia,90,0.55,55
Greece,2853,61.67,80
